Cluster	DNase_ENCODE_ID	DNase_Output_Type	HiC_File_Accession
endothelial_cell_of_umbilical_vein_ENCSR000EOQ_ENCFF783KQI	ENCFF529QDQ, ENCFF016SEB	unfiltered alignments, unfiltered alignments	ENCFF783KQI
esophagus_muscularis_mucosa_ENCSR944JCE_ENCFF458VBB	ENCFF505FWC	alignments	ENCFF458VBB
esophagus_squamous_epithelium_ENCSR783OCW_ENCFF224HKR	ENCFF104MIA	alignments	ENCFF224HKR
head_of_caudate_nucleus_ENCSR116UQH_ENCFF711XSR	ENCFF829OIX	alignments	ENCFF711XSR
heart_left_ventricle_ENCSR598RVJ_ENCFF341WOY	ENCFF682TBE	alignments	ENCFF341WOY
heart_left_ventricle_ENCSR395HAE_ENCFF004YZQ	ENCFF154ILG	alignments	ENCFF004YZQ
heart_left_ventricle_ENCSR222CLC_ENCFF556RLR	ENCFF284XQW	alignments	ENCFF556RLR
heart_left_ventricle_ENCSR222CLC_ENCFF294GFP	ENCFF284XQW	alignments	ENCFF294GFP
heart_left_ventricle_ENCSR395HAE_ENCFF546TZN	ENCFF154ILG	alignments	ENCFF546TZN
heart_left_ventricle_ENCSR735NTV_ENCFF033WGK	ENCFF558NDU	alignments	ENCFF033WGK
heart_left_ventricle_ENCSR747SEU_ENCFF193CQL	ENCFF041ZOJ	alignments	ENCFF193CQL
heart_left_ventricle_ENCSR735NTV_ENCFF251VFA	ENCFF558NDU	alignments	ENCFF251VFA
heart_left_ventricle_ENCSR299QGI_ENCFF643NDM	ENCFF631HMZ	alignments	ENCFF643NDM
heart_left_ventricle_ENCSR598RVJ_ENCFF591MHA	ENCFF682TBE	alignments	ENCFF591MHA
heart_right_ventricle_ENCSR356RNZ_ENCFF605CEN	ENCFF843ZFJ	alignments	ENCFF605CEN
heart_right_ventricle_ENCSR214NLQ_ENCFF028RXH	ENCFF803BUE	alignments	ENCFF028RXH
heart_right_ventricle_ENCSR928WMU_ENCFF545GBW	ENCFF850ISE	alignments	ENCFF545GBW
heart_right_ventricle_ENCSR238FMP_ENCFF252ANV	ENCFF366VIM	alignments	ENCFF252ANV
heart_right_ventricle_ENCSR298OIK_ENCFF965BPU	ENCFF287TWO	alignments	ENCFF965BPU
heart_right_ventricle_ENCSR238FMP_ENCFF782WVZ	ENCFF366VIM	alignments	ENCFF782WVZ
heart_right_ventricle_ENCSR792QQE_ENCFF467OGP	ENCFF153KXN	alignments	ENCFF467OGP
heart_right_ventricle_ENCSR694LFE_ENCFF507WEW	ENCFF671AXT	alignments	ENCFF507WEW
heart_right_ventricle_ENCSR211SUT_ENCFF663FRL	ENCFF305LFG	alignments	ENCFF663FRL
heart_right_ventricle_ENCSR246VSO_ENCFF736ITL	ENCFF556BGQ	alignments	ENCFF736ITL
kidney_ENCSR206OJJ_ENCFF417GBZ	ENCFF698CEN	alignments	ENCFF417GBZ
left_cardiac_atrium_ENCSR032NNU_ENCFF628LQQ	ENCFF857BLF	alignments	ENCFF628LQQ
left_cardiac_atrium_ENCSR032NNU_ENCFF614IPZ	ENCFF857BLF	alignments	ENCFF614IPZ
left_colon_ENCSR867XFA_ENCFF035BLF	ENCFF794DGN	alignments	ENCFF035BLF
left_colon_ENCSR279SXQ_ENCFF660JWA	ENCFF966UTQ	alignments	ENCFF660JWA
left_lung_ENCSR723VNG_ENCFF237UKR	ENCFF277SFH	alignments	ENCFF237UKR
left_lung_ENCSR658UBE_ENCFF094KKX	ENCFF050APU	alignments	ENCFF094KKX
left_ventricle_myocardium_inferior_ENCSR770OTB_ENCFF235LCO	ENCFF616QAS	alignments	ENCFF235LCO
left_ventricle_myocardium_superior_ENCSR355WAJ_ENCFF318JAP	ENCFF153TBA	alignments	ENCFF318JAP
lower_lobe_of_left_lung_ENCSR757NJT_ENCFF649OHR	ENCFF483RKV	alignments	ENCFF649OHR
lower_lobe_of_left_lung_ENCSR632ONQ_ENCFF395INO	ENCFF816ANC	alignments	ENCFF395INO
lower_lobe_of_right_lung_ENCSR785JXR_ENCFF896OFN	ENCFF510NET	alignments	ENCFF896OFN
mammary_epithelial_cell_ENCSR817ALC_ENCFF512PQA	ENCFF570RZQ	alignments	ENCFF512PQA
mucosa_of_descending_colon_ENCSR404TSP_ENCFF309UNV	ENCFF434KAN	alignments	ENCFF309UNV
mucosa_of_descending_colon_ENCSR612CTW_ENCFF579CAR	ENCFF705SSM	alignments	ENCFF579CAR
naive_thymus-derived_CD4-positive__alpha-beta_T_cell_ENCSR232NLA_ENCFF520GFL	ENCFF772JPZ	alignments	ENCFF520GFL
naive_thymus-derived_CD4-positive__alpha-beta_T_cell_ENCSR387EYA_ENCFF044TCQ	ENCFF528COZ	alignments	ENCFF044TCQ
natural_killer_cell_ENCSR975LGK_ENCFF197OWW	ENCFF684DLJ	alignments	ENCFF197OWW
ovary_ENCSR872DUY_ENCFF156GGD	ENCFF218QGZ	alignments	ENCFF156GGD
ovary_ENCSR930PDT_ENCFF019YVI	ENCFF072TVW	alignments	ENCFF019YVI
ovary_ENCSR330ZBO_ENCFF700CYI	ENCFF180HNU	alignments	ENCFF700CYI
ovary_ENCSR138UGH_ENCFF496GEU	ENCFF764XZE	alignments	ENCFF496GEU
pancreas_ENCSR999VDH_ENCFF705MKK	ENCFF456GDF	alignments	ENCFF705MKK
pancreas_ENCSR589HAC_ENCFF653HCO	ENCFF979ZTM	alignments	ENCFF653HCO
pancreas_ENCSR242RPQ_ENCFF586MQY	ENCFF942NPB	alignments	ENCFF586MQY
posterior_vena_cava_ENCSR324NVG_ENCFF673EOB	ENCFF019WJX	alignments	ENCFF673EOB
posterior_vena_cava_ENCSR324NVG_ENCFF946RZW	ENCFF019WJX	alignments	ENCFF946RZW
prostate_gland_ENCSR564FZH_ENCFF515ZBF	ENCFF084DLF	alignments	ENCFF515ZBF
psoas_muscle_ENCSR388DHS_ENCFF625VNK	ENCFF917YWG	alignments	ENCFF625VNK
psoas_muscle_ENCSR108SYM_ENCFF136XCV	ENCFF042TFK	alignments	ENCFF136XCV
right_cardiac_atrium_ENCSR374VQC_ENCFF284OEA	ENCFF103KZD	alignments	ENCFF284OEA
right_cardiac_atrium_ENCSR622HTS_ENCFF081NPN	ENCFF369ITQ	alignments	ENCFF081NPN
right_cardiac_atrium_ENCSR485UQY_ENCFF784WTB	ENCFF104IKA	alignments	ENCFF784WTB
right_cardiac_atrium_ENCSR485UQY_ENCFF459FRB	ENCFF104IKA	alignments	ENCFF459FRB
right_lobe_of_liver_ENCSR164TBP_ENCFF952JZV	ENCFF892VLK	alignments	ENCFF952JZV
right_lobe_of_liver_ENCSR933GMM_ENCFF705YZH	ENCFF427BNB	alignments	ENCFF705YZH
sciatic_nerve_ENCSR672MOG_ENCFF602CHT	ENCFF107GZP	alignments	ENCFF602CHT
sigmoid_colon_ENCSR276ITP_ENCFF897KRI	ENCFF531YYI	alignments	ENCFF897KRI
spleen_ENCSR567EEO_ENCFF280EYD	ENCFF136TSS	alignments	ENCFF280EYD
thyroid_gland_ENCSR195ONB_ENCFF839VMS	ENCFF086CGV	alignments	ENCFF839VMS
upper_lobe_of_right_lung_ENCSR357AWH_ENCFF304HMS	ENCFF702XKC	alignments	ENCFF304HMS
