Cluster	DNase_ENCODE_ID	DNase_Output_Type
B_cell_ENCSR891VOV	ENCFF448DRO	unfiltered alignments
keratinocyte_ENCSR000ELH	ENCFF478FRB	unfiltered alignments
keratinocyte_ENCSR000EPQ	ENCFF898SOZ, ENCFF474YKG	unfiltered alignments, unfiltered alignments
trophoblast_cell_ENCSR179CDH	ENCFF235GOT	unfiltered alignments
trophoblast_cell_ENCSR121ZSL	ENCFF787BIT, ENCFF143HYS	alignments, alignments
trophoblast_cell_ENCSR593LTJ	ENCFF610MXQ, ENCFF854SID	alignments, alignments
trophoblast_cell_ENCSR809LCE	ENCFF139OOY	alignments
trophoblast_cell_ENCSR964MZQ	ENCFF809XEZ, ENCFF632VEJ	alignments, alignments
skeletal_muscle_myoblast_ENCSR000EOO	ENCFF253FMQ, ENCFF372SZT	unfiltered alignments, unfiltered alignments
T-helper_1_cell_ENCSR000EIG	ENCFF112GVG	unfiltered alignments
T-helper_1_cell_ENCSR000EQC	ENCFF995TGB, ENCFF533FVX	unfiltered alignments, unfiltered alignments
T-helper_1_cell_ENCSR000EQD	ENCFF752UQO	unfiltered alignments
T-helper_1_cell_ENCSR000EQE	ENCFF936EGM, ENCFF944ZQZ	unfiltered alignments, unfiltered alignments
T-helper_1_cell_ENCSR035SZE	ENCFF681FDL	alignments
T-helper_1_cell_ENCSR058ELM	ENCFF663ZYE	alignments
T-helper_1_cell_ENCSR260UJJ	ENCFF060ORA	alignments
T-helper_1_cell_ENCSR384GGJ	ENCFF889NJK	alignments
T-helper_1_cell_ENCSR453RFW	ENCFF692JSM	alignments
T-helper_2_cell_ENCSR223XND	ENCFF966RTN	alignments
T-helper_2_cell_ENCSR000EQG	ENCFF512LFE, ENCFF243DIU	unfiltered alignments, alignments
T-helper_2_cell_ENCSR000EQH	ENCFF763CGZ	unfiltered alignments
T-helper_2_cell_ENCSR000EQI	ENCFF740XMF	unfiltered alignments
T-helper_2_cell_ENCSR197ZNW	ENCFF721DXM	alignments
T-helper_2_cell_ENCSR655LUX	ENCFF878NXP	alignments
T-helper_2_cell_ENCSR869JYO	ENCFF217SLM	alignments
T-helper_2_cell_ENCSR872IXQ	ENCFF984EJT	alignments
T-helper_2_cell_ENCSR943KMD	ENCFF915JML	alignments
natural_killer_cell_ENCSR409ZBD	ENCFF286KKJ	alignments
natural_killer_cell_ENCSR794TLA	ENCFF356WSQ	alignments
natural_killer_cell_ENCSR407WGG	ENCFF144XNA	alignments
natural_killer_cell_ENCSR704HNG	ENCFF994RWT	unfiltered alignments
natural_killer_cell_ENCSR718AAB	ENCFF506IQQ	unfiltered alignments
natural_killer_cell_ENCSR723JLG	ENCFF989PWI	unfiltered alignments
natural_killer_cell_ENCSR975LGK	ENCFF684DLJ	alignments
CD4-positive__alpha-beta_T_cell_ENCSR425MRQ	ENCFF397NGT	unfiltered alignments
CD4-positive__alpha-beta_T_cell_ENCSR569ATD	ENCFF655EDA	unfiltered alignments
CD4-positive__alpha-beta_T_cell_ENCSR111WTE	ENCFF287NUU	alignments
CD4-positive__alpha-beta_T_cell_ENCSR941MHZ	ENCFF221DUU	alignments
CD4-positive__alpha-beta_T_cell_ENCSR336QAO	ENCFF679BDM	alignments
CD4-positive__alpha-beta_T_cell_ENCSR314IOV	ENCFF968QXD	alignments
CD4-positive__alpha-beta_T_cell_ENCSR566XSD	ENCFF246DLQ	alignments
CD4-positive__alpha-beta_T_cell_ENCSR940UEK	ENCFF573FXO	alignments
CD4-positive__alpha-beta_T_cell_ENCSR642BXP	ENCFF082IIM	alignments
CD4-positive__alpha-beta_T_cell_ENCSR363LUK	ENCFF635CEG	alignments
CD4-positive__alpha-beta_T_cell_ENCSR152FWD	ENCFF241PKF	alignments
CD4-positive__alpha-beta_T_cell_ENCSR388NOI	ENCFF076IHE	alignments
CD4-positive__alpha-beta_T_cell_ENCSR408GYQ	ENCFF761KVF	alignments
CD4-positive__alpha-beta_T_cell_ENCSR324OTS	ENCFF127SBE	alignments
CD4-positive__alpha-beta_T_cell_ENCSR424MWH	ENCFF143LJM	alignments
CD4-positive__alpha-beta_T_cell_ENCSR250GDW	ENCFF202IBK	alignments
CD4-positive__alpha-beta_T_cell_ENCSR483PGP	ENCFF590FVE	alignments
CD4-positive__alpha-beta_T_cell_ENCSR635VQU	ENCFF724MWS	alignments
CD4-positive__alpha-beta_T_cell_ENCSR452RAX	ENCFF021GFS	alignments
CD4-positive__alpha-beta_T_cell_ENCSR883WDW	ENCFF159VCL	alignments
CD4-positive__alpha-beta_T_cell_ENCSR036ELY	ENCFF746OZT	alignments
CD4-positive__alpha-beta_T_cell_ENCSR060ZXQ	ENCFF031GZH	alignments
CD4-positive__alpha-beta_T_cell_ENCSR126EVX	ENCFF585SDX	alignments
CD4-positive__alpha-beta_T_cell_ENCSR129GCL	ENCFF012FEK	alignments
CD4-positive__alpha-beta_T_cell_ENCSR134BSY	ENCFF179HBF	alignments
CD4-positive__alpha-beta_T_cell_ENCSR155NBS	ENCFF979WRO	alignments
CD4-positive__alpha-beta_T_cell_ENCSR163QXS	ENCFF647HTV	alignments
CD4-positive__alpha-beta_T_cell_ENCSR167JFX	ENCFF954CKW	unfiltered alignments
CD4-positive__alpha-beta_T_cell_ENCSR206KJN	ENCFF058GOA	alignments
CD4-positive__alpha-beta_T_cell_ENCSR240TZG	ENCFF862ZLM	alignments
CD4-positive__alpha-beta_T_cell_ENCSR289GZQ	ENCFF822DKY	alignments
CD4-positive__alpha-beta_T_cell_ENCSR346GIP	ENCFF968CXF	alignments
CD4-positive__alpha-beta_T_cell_ENCSR366KPR	ENCFF292CZL	alignments
