Cluster	DNase_ENCODE_ID	DNase_Output_Type
CD14-positive_monocyte_ENCSR000ELE	ENCFF447PAS, ENCFF175LRM	unfiltered alignments, unfiltered alignments
CD14-positive_monocyte_ENCSR000EPK	ENCFF975UDE	unfiltered alignments
CD14-positive_monocyte_ENCSR241BNZ	ENCFF568RGF	alignments
CD14-positive_monocyte_ENCSR277ZHX	ENCFF185URC	alignments
CD14-positive_monocyte_ENCSR452DCM	ENCFF839VOM	unfiltered alignments
CD14-positive_monocyte_ENCSR464ETX	ENCFF418GQQ	alignments
CD14-positive_monocyte_ENCSR674JIL	ENCFF879JUO	unfiltered alignments
CD14-positive_monocyte_ENCSR695AUY	ENCFF026AOY	unfiltered alignments
common_myeloid_progenitor__CD34-positive_ENCSR122VUW	ENCFF335FAH, ENCFF536VIM	unfiltered alignments, unfiltered alignments
common_myeloid_progenitor__CD34-positive_ENCSR191EII	ENCFF059UCD	unfiltered alignments
common_myeloid_progenitor__CD34-positive_ENCSR271QSV	ENCFF608DQL	unfiltered alignments
common_myeloid_progenitor__CD34-positive_ENCSR281HBB	ENCFF126FSQ	unfiltered alignments
common_myeloid_progenitor__CD34-positive_ENCSR320TUJ	ENCFF879WIP	unfiltered alignments
common_myeloid_progenitor__CD34-positive_ENCSR453EVC	ENCFF789WLS	unfiltered alignments
common_myeloid_progenitor__CD34-positive_ENCSR468ZXN	ENCFF971TCE	unfiltered alignments
common_myeloid_progenitor__CD34-positive_ENCSR495INQ	ENCFF273OCP	unfiltered alignments
common_myeloid_progenitor__CD34-positive_ENCSR564TUY	ENCFF080ERQ	unfiltered alignments
common_myeloid_progenitor__CD34-positive_ENCSR639ZJI	ENCFF184QBN	unfiltered alignments
common_myeloid_progenitor__CD34-positive_ENCSR735BIM	ENCFF769OEP	unfiltered alignments
common_myeloid_progenitor__CD34-positive_ENCSR772HUG	ENCFF865HPC	unfiltered alignments
T_follicular_helper_cell_ENCSR486KKY	ENCFF580HRZ	alignments
T-helper_9_cell_ENCSR542GKI	ENCFF238UQP	alignments
glomerular_endothelial_cell_ENCSR000EOM	ENCFF926ASP, ENCFF637XTZ	unfiltered alignments, unfiltered alignments
epithelial_cell_of_prostate_ENCSR000EPU	ENCFF924YJB, ENCFF477OTZ	unfiltered alignments, unfiltered alignments
epithelial_cell_of_esophagus_ENCSR000ENN	ENCFF468UVP, ENCFF283GDN	unfiltered alignments, unfiltered alignments
non-pigmented_ciliary_epithelial_cell_ENCSR000EOF	ENCFF115JFX, ENCFF887UAC	unfiltered alignments, unfiltered alignments
epithelial_cell_of_proximal_tubule_ENCSR000EPW	ENCFF267XTF, ENCFF890QZF	unfiltered alignments, unfiltered alignments
mammary_epithelial_cell_ENCSR000ENV	ENCFF296UEM, ENCFF870LZG	unfiltered alignments, unfiltered alignments
mammary_epithelial_cell_ENCSR228VNQ	ENCFF287LBM	unfiltered alignments
mammary_epithelial_cell_ENCSR817ALC	ENCFF570RZQ	alignments
bronchial_epithelial_cell_ENCSR000EPN	ENCFF357JVE, ENCFF267VKU	unfiltered alignments, unfiltered alignments
bronchial_epithelial_cell_ENCSR000EPX	ENCFF520KVZ, ENCFF760VZX	unfiltered alignments, unfiltered alignments
progenitor_cell_of_endocrine_pancreas_ENCSR169KNO	ENCFF008WMZ	alignments
myotube_ENCSR000EOP	ENCFF882BKS, ENCFF806BLV	unfiltered alignments, unfiltered alignments
CD1c-positive_myeloid_dendritic_cell_ENCSR373BIX	ENCFF800TQV, ENCFF182NPL	alignments, alignments
kidney_epithelial_cell_ENCSR000EOL	ENCFF195AGL, ENCFF889IWS	unfiltered alignments, unfiltered alignments
amniotic_epithelial_cell_ENCSR000END	ENCFF566JLB, ENCFF635YGG	unfiltered alignments, unfiltered alignments
fibroblast_of_the_aortic_adventitia_ENCSR000EMC	ENCFF445UQY, ENCFF074KNZ	unfiltered alignments, unfiltered alignments
cardiac_fibroblast_ENCSR000ENH	ENCFF175BFW, ENCFF628HTA	unfiltered alignments, unfiltered alignments
cardiac_fibroblast_ENCSR000ENI	ENCFF828UUD, ENCFF197UVO	unfiltered alignments, unfiltered alignments
cardiac_fibroblast_ENCSR856NXV	ENCFF799ASF, ENCFF770MRS	alignments, alignments
fibroblast_of_the_conjunctiva_ENCSR000ENK	ENCFF181ROJ, ENCFF530SXH	unfiltered alignments, unfiltered alignments
fibroblast_of_dermis_ENCSR000EPO	ENCFF159HRT, ENCFF293BEP	unfiltered alignments, unfiltered alignments
fibroblast_of_gingiva_ENCSR000ENS	ENCFF177BYP, ENCFF651XJD	unfiltered alignments, unfiltered alignments
fibroblast_of_lung_ENCSR000EOJ	ENCFF268NZP, ENCFF800NIH	unfiltered alignments, unfiltered alignments
fibroblast_of_lung_ENCSR000EPR	ENCFF237FTW, ENCFF807OQU	unfiltered alignments, unfiltered alignments
fibroblast_of_mammary_gland_ENCSR000ENW	ENCFF788QJH, ENCFF698PYM	unfiltered alignments, unfiltered alignments
fibroblast_of_pulmonary_artery_ENCSR000EOH	ENCFF543ZKJ, ENCFF141EHE	unfiltered alignments, unfiltered alignments
fibroblast_of_villous_mesenchyme_ENCSR000EOR	ENCFF764HYF, ENCFF626XTB	unfiltered alignments, unfiltered alignments
iris_pigment_epithelial_cell_ENCSR000ENT	ENCFF376DMN, ENCFF029GGS	unfiltered alignments, unfiltered alignments
renal_cortical_epithelial_cell_ENCSR000EOK	ENCFF773GJZ, ENCFF570QNB	unfiltered alignments, unfiltered alignments
retinal_pigment_epithelial_cell_ENCSR000EON	ENCFF587VEW, ENCFF227FDU	unfiltered alignments, unfiltered alignments
smooth_muscle_cell_of_the_brain_vasculature_ENCSR000ENG	ENCFF664RKN, ENCFF980FWK	unfiltered alignments, unfiltered alignments
astrocyte_of_the_cerebellum_ENCSR000ENC	ENCFF909JGN, ENCFF490FNY	unfiltered alignments, unfiltered alignments
astrocyte_of_the_hippocampus_ENCSR000ENA	ENCFF607LKR, ENCFF222XQL	unfiltered alignments, unfiltered alignments
astrocyte_of_the_spinal_cord_ENCSR000ENB	ENCFF935OTU, ENCFF960DBN	unfiltered alignments, unfiltered alignments
endothelial_cell_of_umbilical_vein_ENCSR000EKF	ENCFF309JXB	unfiltered alignments
endothelial_cell_of_umbilical_vein_ENCSR000EOQ	ENCFF529QDQ, ENCFF016SEB	unfiltered alignments, unfiltered alignments
amniotic_stem_cell_ENCSR207TUX	ENCFF506AZM	alignments
cardiovascular_progenitor_cell_ENCSR000EMW	ENCFF043LBC, ENCFF130IKC	unfiltered alignments, unfiltered alignments
stromal_cell_of_bone_marrow_ENCSR000EMH	ENCFF745IQS, ENCFF753KFY	unfiltered alignments, unfiltered alignments
cardiac_myoblast_ENCSR000EMV	ENCFF426WHF	unfiltered alignments
neural_crest_cell_ENCSR826URD	ENCFF103QUR, ENCFF916YHM	alignments, alignments
mesothelial_cell_of_epicardium_ENCSR658EHM	ENCFF139MJE	alignments
mesothelial_cell_of_epicardium_ENCSR945KSP	ENCFF437GFL	alignments
neural_progenitor_cell_ENCSR963ALV	ENCFF123YLB, ENCFF179YWZ	alignments, alignments
fibroblast_of_upper_back_skin_ENCSR325LYJ	ENCFF413DAA	unfiltered alignments
fibroblast_of_upper_back_skin_ENCSR670VQZ	ENCFF833CAL	unfiltered alignments
fibroblast_of_skin_of_back_ENCSR184LMY	ENCFF486ECD	unfiltered alignments
kidney_tubule_cell_ENCSR257CIZ	ENCFF100HNM	alignments
kidney_tubule_cell_ENCSR175IWT	ENCFF298FKB, ENCFF977YJN	alignments, alignments
kidney_glomerular_epithelial_cell_ENCSR136KEL	ENCFF789WYX, ENCFF925RDJ	alignments, alignments
kidney_capillary_endothelial_cell_ENCSR988YKR	ENCFF033OTC	alignments
pulmonary_artery_endothelial_cell_ENCSR000EOG	ENCFF186ZTP	unfiltered alignments
foreskin_keratinocyte_ENCSR035RVH	ENCFF518UKM	unfiltered alignments
foreskin_keratinocyte_ENCSR724CND	ENCFF218LFH	unfiltered alignments
foreskin_fibroblast_ENCSR000ENQ	ENCFF253VCA, ENCFF659BFD	unfiltered alignments, unfiltered alignments
foreskin_fibroblast_ENCSR000EPP	ENCFF913AWU, ENCFF443DQB	unfiltered alignments, unfiltered alignments
foreskin_fibroblast_ENCSR153LHP	ENCFF487RHE	unfiltered alignments
foreskin_fibroblast_ENCSR251UPG	ENCFF598YNL	unfiltered alignments
epidermal_melanocyte_ENCSR000ELD	ENCFF786HBB	unfiltered alignments
dermis_blood_vessel_endothelial_cell_ENCSR000ENX	ENCFF739GYW, ENCFF816VQV	unfiltered alignments, unfiltered alignments
dermis_blood_vessel_endothelial_cell_ENCSR000ENY	ENCFF935IGK, ENCFF840QUG	unfiltered alignments, unfiltered alignments
dermis_blood_vessel_endothelial_cell_ENCSR000ENZ	ENCFF542UFQ, ENCFF320KKF	unfiltered alignments, unfiltered alignments
dermis_blood_vessel_endothelial_cell_ENCSR000EOC	ENCFF351XKA, ENCFF967VTQ	unfiltered alignments, unfiltered alignments
fibroblast_of_skin_of_abdomen_ENCSR176KYD	ENCFF013DZG	unfiltered alignments
fibroblast_of_skin_of_abdomen_ENCSR622TWS	ENCFF906YYA	unfiltered alignments
lung_microvascular_endothelial_cell_ENCSR000EOD	ENCFF390RYI, ENCFF806HBI	unfiltered alignments, unfiltered alignments
lung_microvascular_endothelial_cell_ENCSR000EOE	ENCFF765BBU, ENCFF475NUI	unfiltered alignments, unfiltered alignments
fibroblast_of_peridontal_ligament_ENCSR000EOI	ENCFF724JBF, ENCFF087PPY	unfiltered alignments, unfiltered alignments
dermis_microvascular_lymphatic_vessel_endothelial_cell_ENCSR000EOA	ENCFF104PRG, ENCFF894FEO	unfiltered alignments, unfiltered alignments
dermis_microvascular_lymphatic_vessel_endothelial_cell_ENCSR000EOB	ENCFF805MXN, ENCFF627UXJ	unfiltered alignments, unfiltered alignments
brain_pericyte_ENCSR000ENF	ENCFF582YGW	unfiltered alignments
brain_microvascular_endothelial_cell_ENCSR000ENE	ENCFF427KSA, ENCFF203RLS	unfiltered alignments, unfiltered alignments
brain_microvascular_endothelial_cell_ENCSR006DKF	ENCFF438RES, ENCFF598PRH	alignments, alignments
foreskin_melanocyte_ENCSR434OBM	ENCFF768NBD	unfiltered alignments
foreskin_melanocyte_ENCSR518JGY	ENCFF734JYI	unfiltered alignments
HK-2_ENCSR634YVQ	ENCFF632FSE	alignments
Jurkat__Clone_E6-1_ENCSR000EOS	ENCFF623AMI, ENCFF443NXJ	unfiltered alignments, unfiltered alignments
AG20443_ENCSR000EIX	ENCFF529VPM	unfiltered alignments
GM03348_ENCSR000EIT	ENCFF969RTD	unfiltered alignments
GM03348_ENCSR000EIR	ENCFF366OHL	unfiltered alignments
GM03348_ENCSR000EIS	ENCFF807INY	unfiltered alignments
GM04504_ENCSR000EMP	ENCFF350FKO, ENCFF823CSM	unfiltered alignments, unfiltered alignments
GM04503_ENCSR000EMO	ENCFF596JWG, ENCFF992AZC	unfiltered alignments, unfiltered alignments
AG10803_ENCSR000EMB	ENCFF240XBQ, ENCFF056XGB	unfiltered alignments, unfiltered alignments
AG09309_ENCSR000ELZ	ENCFF480YHP, ENCFF112HRI	unfiltered alignments, unfiltered alignments
AG09319_ENCSR000EMA	ENCFF133WRM, ENCFF605ZWW	unfiltered alignments, unfiltered alignments
AG08396_ENCSR000EIW	ENCFF506CPQ	unfiltered alignments
AG08395_ENCSR000EIV	ENCFF296IFK	unfiltered alignments
AG04449_ENCSR000ELX	ENCFF015VCA, ENCFF218KYK	unfiltered alignments, unfiltered alignments
RCC_ENCSR337IRF	ENCFF158JTK, ENCFF478GFR	alignments, alignments
A549_ENCSR406EMB	ENCFF199AQX, ENCFF512OTM, ENCFF313ILC, ENCFF635HDK, ENCFF004RNE	unfiltered alignments, unfiltered alignments, unfiltered alignments, unfiltered alignments, unfiltered alignments
A549_ENCSR384KCZ	ENCFF838CUA, ENCFF369CLX, ENCFF658VKV, ENCFF455QZC, ENCFF008YUA	unfiltered alignments, unfiltered alignments, unfiltered alignments, unfiltered alignments, unfiltered alignments
A549_ENCSR128IVG	ENCFF656VAK, ENCFF989AGK, ENCFF331AYH, ENCFF088PRP	unfiltered alignments, unfiltered alignments, unfiltered alignments, unfiltered alignments
A549_ENCSR523FJT	ENCFF144UVO, ENCFF924LAN, ENCFF202XXK, ENCFF344BWR	unfiltered alignments, unfiltered alignments, unfiltered alignments, unfiltered alignments
A549_ENCSR837VHE	ENCFF023LKT, ENCFF352OMJ, ENCFF731FBN, ENCFF382QUN	unfiltered alignments, unfiltered alignments, unfiltered alignments, unfiltered alignments
A549_ENCSR294XUZ	ENCFF937BFS, ENCFF681EYE, ENCFF064MSU, ENCFF287FKK	unfiltered alignments, unfiltered alignments, unfiltered alignments, unfiltered alignments
A549_ENCSR599WJC	ENCFF101SSS, ENCFF974NNZ, ENCFF332WAL, ENCFF134NCO	unfiltered alignments, unfiltered alignments, unfiltered alignments, unfiltered alignments
A549_ENCSR565WPR	ENCFF177ONC, ENCFF396TBK, ENCFF382SDZ, ENCFF067NET	unfiltered alignments, unfiltered alignments, unfiltered alignments, unfiltered alignments
A549_ENCSR077EYC	ENCFF956CDV, ENCFF282JQS, ENCFF225LKK, ENCFF541WWN	unfiltered alignments, unfiltered alignments, unfiltered alignments, unfiltered alignments
A549_ENCSR347CEH	ENCFF539LZP, ENCFF271AAE, ENCFF702KRA, ENCFF081ZPV	unfiltered alignments, unfiltered alignments, unfiltered alignments, unfiltered alignments
A549_ENCSR660OQE	ENCFF428PRU, ENCFF598KJO, ENCFF025VVX, ENCFF856JVS, ENCFF976VXJ	unfiltered alignments, unfiltered alignments, unfiltered alignments, unfiltered alignments, unfiltered alignments
A549_ENCSR000EIE	ENCFF995HBI	unfiltered alignments
A549_ENCSR000ELW	ENCFF048PFJ, ENCFF410CDT	unfiltered alignments, alignments
A549_ENCSR136DNA	ENCFF215ZJQ, ENCFF037NDD, ENCFF548VIM, ENCFF633PXA	unfiltered alignments, unfiltered alignments, unfiltered alignments, unfiltered alignments
Caco-2_ENCSR000EMI	ENCFF203HVL, ENCFF961FVW	unfiltered alignments, unfiltered alignments
Caco-2_ENCSR030HFV	ENCFF043MJC, ENCFF896IZG	alignments, alignments
Caco-2_ENCSR255STJ	ENCFF368UBC, ENCFF554OTV	alignments, alignments
HEK293T_ENCSR000EJR	ENCFF283AWX	unfiltered alignments
HepG2_ENCSR000EJV	ENCFF878RGP	unfiltered alignments
HepG2_ENCSR149XIL	ENCFF474LSZ, ENCFF839SPF	alignments, alignments
HT-29_ENCSR814KRX	ENCFF485UTI, ENCFF092FYN, ENCFF698NHT, ENCFF906DWG	alignments, alignments, alignments, alignments
IMR-90_ENCSR000EKG	ENCFF361OWP	unfiltered alignments
IMR-90_ENCSR477RTP	ENCFF618FFB	unfiltered alignments
MCF_10A_ENCSR752EPH	ENCFF766UHF	unfiltered alignments
MCF_10A_ENCSR385SZQ	ENCFF101JIC	unfiltered alignments
MCF_10A_ENCSR789VGQ	ENCFF416UGH	unfiltered alignments
MCF-7_ENCSR000EPI	ENCFF199OSH, ENCFF822WNW	unfiltered alignments, unfiltered alignments
MCF-7_ENCSR000EKY	ENCFF453JXK	unfiltered alignments
MCF-7_ENCSR000EKX	ENCFF925RMV	unfiltered alignments
MCF-7_ENCSR000EKW	ENCFF145ZWL	unfiltered alignments
MCF-7_ENCSR000EKV	ENCFF383DSC	unfiltered alignments
MCF-7_ENCSR000EKZ	ENCFF244VNL	unfiltered alignments
MCF-7_ENCSR000EPH	ENCFF429VEC, ENCFF812YNL	unfiltered alignments, unfiltered alignments
NCI-H929_ENCSR090SMP	ENCFF910XNY, ENCFF369NRI	alignments, alignments
RKO_ENCSR429RHR	ENCFF290RFC, ENCFF881HKH	alignments, alignments
T47D_ENCSR000ELS	ENCFF661WZF	unfiltered alignments
T47D_ENCSR000ELT	ENCFF384HOF	unfiltered alignments
T47D_ENCSR000EQB	ENCFF002IRA, ENCFF261ZUT	unfiltered alignments, unfiltered alignments
WI38_ENCSR000EQM	ENCFF106KYR, ENCFF760MER	unfiltered alignments, unfiltered alignments
WI38_ENCSR000EQN	ENCFF394FFM, ENCFF400OHC	unfiltered alignments, unfiltered alignments
HT1080_ENCSR000FDI	ENCFF862UPO, ENCFF033IBX	unfiltered alignments, unfiltered alignments
K562_ENCSR000EKO	ENCFF050ZRL	unfiltered alignments
K562_ENCSR000EKR	ENCFF896UXC	unfiltered alignments
K562_ENCSR000EKN	ENCFF499RRW	unfiltered alignments
K562_ENCSR000EKP	ENCFF612AHB	unfiltered alignments
K562_ENCSR000EKQ	ENCFF651KVB	unfiltered alignments
K562_ENCSR000EKS	ENCFF987IUK	unfiltered alignments
K562_ENCSR000EOT	ENCFF325RTP, ENCFF860XAE	unfiltered alignments, unfiltered alignments
PC-3_ENCSR052AWE	ENCFF197VOO, ENCFF695RSF	alignments, alignments
SW480_ENCSR217SET	ENCFF036ZSE, ENCFF117RRB	alignments, alignments
A172_ENCSR932KWJ	ENCFF567HRE, ENCFF479STA	alignments, alignments
A673_ENCSR114QAK	ENCFF037RUL	alignments
A673_ENCSR346JWH	ENCFF261YSH, ENCFF860UCH	alignments, alignments
ACHN_ENCSR257BGZ	ENCFF347OEU, ENCFF737SCC	unfiltered alignments, alignments
COLO829_ENCSR000EIN	ENCFF746AXH	unfiltered alignments
Caki2_ENCSR515EWI	ENCFF463OFJ, ENCFF286HCJ	unfiltered alignments, unfiltered alignments
D341Med_ENCSR000ELB	ENCFF550SER	unfiltered alignments
G401_ENCSR269SIA	ENCFF910NWW, ENCFF671CNQ	unfiltered alignments, alignments
H4_ENCSR809CEA	ENCFF522QNO, ENCFF224DKF	alignments, alignments
MG63_ENCSR083STA	ENCFF597KGC, ENCFF438MPJ	unfiltered alignments, unfiltered alignments
MG63_ENCSR443YJP	ENCFF028GXY, ENCFF801NTK	alignments, alignments
NAMALWA_ENCSR301OGM	ENCFF497LCM, ENCFF824ZLB	unfiltered alignments, unfiltered alignments
NAMALWA_ENCSR662HMO	ENCFF008UNA, ENCFF329MCU	unfiltered alignments, unfiltered alignments
NCI-H226_ENCSR265TEK	ENCFF559MVB, ENCFF040YWG	alignments, alignments
RPMI8226_ENCSR594NOE	ENCFF245DSZ, ENCFF326MNW	unfiltered alignments, alignments
RWPE1_ENCSR000ELP	ENCFF407NBI	unfiltered alignments
SJSA1_ENCSR520WTV	ENCFF177HIF, ENCFF726YVN	alignments, alignments
SJSA1_ENCSR620WAR	ENCFF941LWY, ENCFF468DCR	unfiltered alignments, unfiltered alignments
Panc1_ENCSR000EPT	ENCFF313EDO, ENCFF325RLI	unfiltered alignments, unfiltered alignments
BJ_ENCSR000EME	ENCFF721ZFV, ENCFF844POF	unfiltered alignments, unfiltered alignments
H54_ENCSR000EJA	ENCFF887RRT	unfiltered alignments
GM06990_ENCSR000EMQ	ENCFF824UHK, ENCFF825OQI	unfiltered alignments, unfiltered alignments
GM12878_ENCSR000EMT	ENCFF467CXY, ENCFF940NSD	unfiltered alignments, unfiltered alignments
GM12891_ENCSR000EJE	ENCFF755VVY	unfiltered alignments
GM12892_ENCSR000EJF	ENCFF674CWG	unfiltered alignments
GM18507_ENCSR000EJI	ENCFF526HRB	unfiltered alignments
GM19238_ENCSR000EJJ	ENCFF141NCQ	unfiltered alignments
GM19239_ENCSR000EJK	ENCFF314DTG	unfiltered alignments
GM19240_ENCSR000EJL	ENCFF437NVY	unfiltered alignments
HeLa-S3_ENCSR000EJS	ENCFF930KNL	unfiltered alignments
HeLa-S3_ENCSR000EJT	ENCFF187PXI	unfiltered alignments
HeLa-S3_ENCSR000ENO	ENCFF956XRO, ENCFF610LUN	unfiltered alignments, unfiltered alignments
HeLa-S3_ENCSR959ZXU	ENCFF786NAW, ENCFF706OIB	alignments, alignments
HL-60_ENCSR000ENU	ENCFF310NAD, ENCFF311KST	unfiltered alignments, unfiltered alignments
HL-60_ENCSR889WKL	ENCFF488MRC, ENCFF924PTR	alignments, alignments
NB4_ENCSR000EPL	ENCFF673SQR, ENCFF015WQK	unfiltered alignments, unfiltered alignments
Calu3_ENCSR366NBE	ENCFF612BVO, ENCFF452KBW	alignments, alignments
HCT116_ENCSR521WNU	ENCFF621YTZ, ENCFF587DHQ	alignments, alignments
HCT116_ENCSR702VYW	ENCFF381UGQ, ENCFF556STX	alignments, alignments
HCT116_ENCSR595CME	ENCFF464UIL, ENCFF305OHN	alignments, alignments
HCT116_ENCSR542UWN	ENCFF121EVV, ENCFF720KAC	alignments, alignments
HCT116_ENCSR867ITQ	ENCFF801KAM	alignments
HCT116_ENCSR795ZKB	ENCFF076SWD, ENCFF454IID	alignments, alignments
HCT116_ENCSR498JAW	ENCFF958BEI, ENCFF955RHM	alignments, alignments
HCT116_ENCSR811COL	ENCFF748RTZ, ENCFF226KYV	alignments, alignments
HCT116_ENCSR477IQW	ENCFF400YZH, ENCFF515XIW	alignments, alignments
HCT116_ENCSR878VJL	ENCFF028XIT, ENCFF139MVW	alignments, alignments
HCT116_ENCSR823GSV	ENCFF545ONU	alignments
HCT116_ENCSR690ADK	ENCFF523QDP	alignments
HCT116_ENCSR129EWE	ENCFF118WQF, ENCFF708EPH	alignments, alignments
HCT116_ENCSR980GWI	ENCFF766VMY	alignments
HCT116_ENCSR694YJR	ENCFF213KGB, ENCFF191GDK	alignments, alignments
HCT116_ENCSR000ENM	ENCFF166PCV, ENCFF619LVU	unfiltered alignments, unfiltered alignments
PC-9_ENCSR781TYE	ENCFF658ARC, ENCFF389ZHQ	alignments, alignments
PC-9_ENCSR940NLN	ENCFF189UVI, ENCFF978LNU	alignments, alignments
SK-N-MC_ENCSR000EPY	ENCFF011ZHY, ENCFF754VGI	unfiltered alignments, unfiltered alignments
CMK_ENCSR000EMN	ENCFF721UJT	unfiltered alignments
H1_ENCSR000EJN	ENCFF188RKP	unfiltered alignments
H1_ENCSR000EMU	ENCFF733TCL	unfiltered alignments
H1_ENCSR951BNY	ENCFF801RHD, ENCFF579KRZ	alignments, alignments
NCI-H460_ENCSR000FJH	ENCFF117GRF, ENCFF583DNU	unfiltered alignments, unfiltered alignments
H9_ENCSR017OZH	ENCFF129ZDR, ENCFF206KSA	alignments, alignments
H9_ENCSR754LIN	ENCFF492FGY, ENCFF463JHG	alignments, alignments
H9_ENCSR943SYS	ENCFF302MBM, ENCFF529IHR	alignments, alignments
H9_ENCSR964WHY	ENCFF347LOI, ENCFF308PNO	alignments, alignments
H9_ENCSR000EJP	ENCFF427RZA	unfiltered alignments
H9_ENCSR275ICP	ENCFF206ALY, ENCFF291ZMA	alignments, alignments
H9_ENCSR662RIZ	ENCFF244JVV	alignments
SK-N-SH_ENCSR000EPZ	ENCFF481OBU, ENCFF772OQK	unfiltered alignments, unfiltered alignments
SK-N-SH_ENCSR000ELQ	ENCFF264HFT	unfiltered alignments
NT2_D1_ENCSR000EPS	ENCFF372GQM, ENCFF399OQU	unfiltered alignments, unfiltered alignments
HS-5_ENCSR000EMG	ENCFF615UMS	unfiltered alignments
HS-27A_ENCSR000EMF	ENCFF299GDE	unfiltered alignments
GM10248_ENCSR000EJB	ENCFF662QWY	unfiltered alignments
GM10266_ENCSR000EJC	ENCFF946JDS	unfiltered alignments
GM12864_ENCSR000EMR	ENCFF123NPP	unfiltered alignments
GM12865_ENCSR000EMS	ENCFF990RGA, ENCFF501BQO	unfiltered alignments, unfiltered alignments
GM13976_ENCSR000EJG	ENCFF067HUR	unfiltered alignments
GM13977_ENCSR000EJH	ENCFF885UZH	unfiltered alignments
GM20000_ENCSR000EJM	ENCFF587WEN	unfiltered alignments
HuH-7_ENCSR000EKD	ENCFF070RWR	unfiltered alignments
D721Med_ENCSR000ELA	ENCFF271DNF	unfiltered alignments
M059J_ENCSR000EPG	ENCFF299HNT, ENCFF108IPV	unfiltered alignments, unfiltered alignments
Daoy_ENCSR346IHH	ENCFF837SRJ, ENCFF401DQF	unfiltered alignments, unfiltered alignments
HuH-7.5_ENCSR000EKE	ENCFF932RXN	unfiltered alignments
RCC_7860_ENCSR037PGI	ENCFF499DRT, ENCFF386XBC	alignments, alignments
HTR-8_SVneo_ENCSR000EKC	ENCFF740ABP	unfiltered alignments
HFF-Myc_ENCSR000ENR	ENCFF762BVA, ENCFF611LBU	unfiltered alignments, unfiltered alignments
HPDE6-E6E7_ENCSR000EJX	ENCFF376RHW	unfiltered alignments
RPMI7951_ENCSR000EPV	ENCFF459ADL, ENCFF374UVG	unfiltered alignments, unfiltered alignments
8988T_ENCSR000EID	ENCFF590FGE	unfiltered alignments
LHCN-M2_ENCSR000EPE	ENCFF498ZTB, ENCFF541EQR	unfiltered alignments, unfiltered alignments
WERI-Rb-1_ENCSR000EQL	ENCFF639GFQ, ENCFF643TRD	unfiltered alignments, unfiltered alignments
WERI-Rb-1_ENCSR218FSP	ENCFF686UNS, ENCFF942XGJ	alignments, alignments
Ishikawa_ENCSR000EIO	ENCFF105SCS	unfiltered alignments
Ishikawa_ENCSR000EKM	ENCFF028RJT	unfiltered alignments
Ishikawa_ENCSR000EKL	ENCFF050SLP	unfiltered alignments
Ishikawa_ENCSR000EIP	ENCFF025PVR	unfiltered alignments
Karpas-422_ENCSR019JDO	ENCFF046SMR, ENCFF438PJC	alignments, alignments
SK-MEL-5_ENCSR000FEK	ENCFF793WJQ, ENCFF679LFL	unfiltered alignments, unfiltered alignments
SK-N-DZ_ENCSR000FJL	ENCFF859JWM, ENCFF137RKG	unfiltered alignments, unfiltered alignments
SK-N-DZ_ENCSR946MVP	ENCFF112ZGM, ENCFF399MPN	unfiltered alignments, unfiltered alignments
SJCRH30_ENCSR000FFJ	ENCFF561GBK, ENCFF610BTY	unfiltered alignments, unfiltered alignments
SJCRH30_ENCSR506QJJ	ENCFF102QDV, ENCFF477YUQ	alignments, alignments
GM23248_ENCSR217TAW	ENCFF417OQG, ENCFF956PHU	alignments, alignments
MM.1S_ENCSR458LIB	ENCFF319IZZ	alignments
BE2C_ENCSR000EMD	ENCFF338YEG, ENCFF863PDL	unfiltered alignments, unfiltered alignments
BE2C_ENCSR009KWQ	ENCFF254KEI, ENCFF729GFM	alignments, alignments
LNCaP_clone_FGC_ENCSR000EKU	ENCFF792XFJ	unfiltered alignments
LNCaP_clone_FGC_ENCSR000EKT	ENCFF388UWK	unfiltered alignments
LNCaP_clone_FGC_ENCSR000EPF	ENCFF923YAI, ENCFF560OQO	unfiltered alignments, unfiltered alignments
ELF-1_ENCSR678ILN	ENCFF788WJL, ENCFF805ZGK	unfiltered alignments, unfiltered alignments
KBM-7_ENCSR426IEA	ENCFF919CXW, ENCFF747BBS	unfiltered alignments, unfiltered alignments
H7_ENCSR000EJO	ENCFF930YYX	unfiltered alignments
H7_ENCSR000EMZ	ENCFF304ZDF, ENCFF632AMG	unfiltered alignments, unfiltered alignments
urothelium_cell_line_ENCSR000ELU	ENCFF955LCQ	unfiltered alignments
urothelium_cell_line_ENCSR000ELV	ENCFF417VEK	unfiltered alignments
AG04450_ENCSR000ELY	ENCFF544XWD, ENCFF477CQU	unfiltered alignments, unfiltered alignments
LoVo_ENCSR503BEM	ENCFF807APJ, ENCFF735XWT	alignments, alignments
OCI-LY7_ENCSR489NAM	ENCFF643CGR, ENCFF210MMO	alignments, alignments
DND-41_ENCSR903SKE	ENCFF758LRN, ENCFF836RBO	alignments, alignments
iPS_DF_19.7_ENCSR440QMR	ENCFF984DFA	unfiltered alignments
iPS_DF_19.11_ENCSR383SNM	ENCFF966PEX	unfiltered alignments
iPS_DF_4.7_ENCSR014FPY	ENCFF500VCT	unfiltered alignments
iPS_DF_6.9_ENCSR261SMF	ENCFF138HXB	unfiltered alignments
HAP-1_ENCSR620QNS	ENCFF427IVB, ENCFF303JZI	alignments, alignments
